time,br01_gobgp,br01_jool,br02_gobgp,br02_jool,br03_gobgp,br03_jool,br04_gobgp,br04_jool,br05_gobgp,br05_jool,br06_gobgp,br06_jool,br07_gobgp,br07_jool,br08_gobgp,br08_jool,br09_gobgp,br09_jool,br10_gobgp,br10_jool,br11_gobgp,br11_jool,br12_gobgp,br12_jool,br13_gobgp,br13_jool,br14_gobgp,br14_jool,br15_gobgp,br15_jool,br16_gobgp,br16_jool,br17_gobgp,br17_jool,br18_gobgp,br18_jool,br19_gobgp,br19_jool,br20_gobgp,br20_jool,br21_gobgp,br21_jool,br22_gobgp,br22_jool,br23_gobgp,br23_jool,br24_gobgp,br24_jool,br25_gobgp,br25_jool,br26_gobgp,br26_jool,br27_gobgp,br27_jool,br28_gobgp,br28_jool,br29_gobgp,br29_jool,br30_gobgp,br30_jool
0.0,,,,,,,512.0,512.0,,,,,,,512.0,512.0,,,512.0,512.0,512.0,512.0,,,,,,,,,,,,,,,,,,,,,,,,,,,512.0,512.0,512.0,512.0,,,,,512.0,512.0,512.0,512.0
0.09999990463256836,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,,,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,,,512.0,512.0,512.0,512.0,,,512.0,512.0,,,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,,,512.0,512.0,512.0,512.0,512.0,512.0
0.20000004768371582,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
0.2999999523162842,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
0.40000009536743164,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
0.5,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
0.5999999046325684,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
0.7000000476837158,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
0.7999999523162842,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
0.9000000953674316,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
1.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
1.0999999046325684,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
1.2000000476837158,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
1.2999999523162842,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
